Event,TouchPoint,unique_input_json,diff_keys_vs_global,step 1 op,step 2 op,step 3 op,step 4 op,step 5 op,flow
addFontProjectFamilies,Project,"{
  ""fontProjectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""families"": {
    ""familyIds"": [
      ""910130168""
    ]
  }
}","[""families"", ""fontProjectId""]",createProject,addFontProjectFamilies,,,,createProject → addFontProjectFamilies
addFontProjectStyles,Project,"{
  ""fontProjectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138"",
  ""styles"": [
    {
      ""styleId"": ""920374778""
    }
  ]
}",projectId,createProject,addFontProjectStyles,,,,createProject → addFontProjectStyles
addStyleComment,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),addStyleComment,,,,,addStyleComment
addStyleComment,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,addStyleComment,,,,createProject → addStyleComment
addStyleDocument,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),addStyleDocument,,,,,addStyleDocument
addStyleDocument,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,addStyleDocument,,,,createProject → addStyleDocument
addStylesToWebProject,Project,"{
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}",projectId,createProject,addStylesToWebProject,,,,createProject → addStylesToWebProject
applyUnsubscribe,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),applyUnsubscribe,,,,,applyUnsubscribe
approveFontAccess,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),approveFontAccess,,,,,approveFontAccess
bulkActivateLists,List (FONTLIST),"{
  ""lists"": [
    {
      ""id"": ""210ad1c8-b742-49e4-9074-4be65d4be610""
    }
  ],
  ""activationType"": ""PERMANENT""
}","[""activationType"", ""lists""]",createAsset,bulkActivateLists,,,,createAsset → bulkActivateLists
bulkActivateLists,Project,"{
  ""lists"": [
    {
      ""id"": ""210ad1c8-b742-49e4-9074-4be65d4be610""
    }
  ],
  ""activationType"": ""PERMANENT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""activationType"", ""lists"", ""projectId""]",createProject,createAsset,bulkActivateLists,,,createProject → createAsset → bulkActivateLists
bulkActivateStyles,Discovery/Browse (global),"{
  ""styles"": [
    {
      ""id"": ""920374778""
    }
  ],
  ""activationType"": ""PERMANENT""
}","[""activationType"", ""styles""]",bulkActivateStyles,,,,,bulkActivateStyles
bulkActivateStyles,Project,"{
  ""styles"": [
    {
      ""id"": ""920374778""
    }
  ],
  ""activationType"": ""PERMANENT"",
  ""projectId"": ""c2a7788f-e731-4f65-8cc6-1db42ff41138""
}","[""activationType"", ""projectId"", ""styles""]",createProject,bulkActivateStyles,,,,createProject → bulkActivateStyles
bulkAddPairsToFavorite,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkAddPairsToFavorite,,,,,bulkAddPairsToFavorite
bulkAddStylesToFavourites,Discovery/Browse (global),"{
  ""_touchpoint"": ""global"",
  ""_hint"": ""Use captured raw subject.metadata.input""
}",global (no list/project/document scope),bulkAddStylesToFavourites,,,,,bulkAddStylesToFavourites
